web-scraper-order,web-scraper-start-url,categories,categories-href,page,plants,plants-href,plant_name,plant_price,plant_des,plant_img-src,additional_img-src
"1701424053-1","https://piante.ca/","Large Plants","https://piante.ca/collections/large-plants","","10"" Ficus Bonsai
$299.99","https://piante.ca/collections/large-plants/products/10-ficus-bonsai","10"" Ficus Bonsai","$299.99","The Ficus Bonsai is known to bring good luck and harmony to those who own one and when recieved as a gift it is said to bring double the luck. This Ficus is bonsai trees with oval-shaped leaves that create a lush canopy of green. It is striking in appearance and a more forgiving variety of bonsai. This specimine is approximetly 24"" tall, and it's trunk has been shaped into a multitude of gracfull curves.","//piante.ca/cdn/shop/products/10FicusBonsai_DoubleS_360x.png?v=1679590996 360w, //piante.ca/cdn/shop/products/10FicusBonsai_DoubleS_540x.png?v=1679590996 540w, //piante.ca/cdn/shop/products/10FicusBonsai_DoubleS_720x.png?v=1679590996 720w, //piante.ca/cdn/shop/products/10FicusBonsai_DoubleS_900x.png?v=1679590996 900w, //piante.ca/cdn/shop/products/10FicusBonsai_DoubleS_1080x.png?v=1679590996 1080w",""
"1701424055-2","https://piante.ca/","Large Plants","https://piante.ca/collections/large-plants","","10"" Monstera Split Leaf Philodendron
$113.99","https://piante.ca/collections/large-plants/products/0242e39e-bf23-11ea-fc6f-f2cde0a226e7","10"" Monstera Split Leaf Philodendron","$113.99","An iconic must-have addition to any plant lover's collection, Monstera Deliciosa is as easy to care for as it is beautiful. With deep green, heart-shaped leaves that can easily grow to massive widths, this plant is well known for the vertical splits that run from the leaf's edge to its core. Monstera has a tendency to grow out and down, but place a moss-covered poll in the soil and watch in awe as this plant clings to it with aerial roots.","//piante.ca/cdn/shop/products/10-monstera-split-leaf-philodendron-piante-plants_360x.png?v=1641264591 360w, //piante.ca/cdn/shop/products/10-monstera-split-leaf-philodendron-piante-plants_540x.png?v=1641264591 540w, //piante.ca/cdn/shop/products/10-monstera-split-leaf-philodendron-piante-plants_720x.png?v=1641264591 720w, //piante.ca/cdn/shop/products/10-monstera-split-leaf-philodendron-piante-plants_900x.png?v=1641264591 900w, //piante.ca/cdn/shop/products/10-monstera-split-leaf-philodendron-piante-plants_1080x.png?v=1641264591 1080w",""
"1701424057-3","https://piante.ca/","Large Plants","https://piante.ca/collections/large-plants","","10"" Peace Lily
$101.99","https://piante.ca/collections/large-plants/products/0242e39e-bf23-11ea-fc6f-f2ce937c99c0","10"" Peace Lily","$101.99","Peace Lily is a classic ornamental plant and a long-time favorite of many plant hobbyists and collectors. While its flowers remind you of calla lilies,  this famed air cleaning plant is not a true lily since it’s actually a part of the Arum family. The leaves are attractive as they are - glossy, dark green, and lance-shaped that arch out from the plant’s base. Yet, the white flowers are the main attraction. They form a club-like cluster, surrounded by an elegant white bract.","//piante.ca/cdn/shop/products/10-peace-lily-piante-plants_360x.png?v=1641264590 360w, //piante.ca/cdn/shop/products/10-peace-lily-piante-plants_540x.png?v=1641264590 540w, //piante.ca/cdn/shop/products/10-peace-lily-piante-plants_720x.png?v=1641264590 720w, //piante.ca/cdn/shop/products/10-peace-lily-piante-plants_900x.png?v=1641264590 900w, //piante.ca/cdn/shop/products/10-peace-lily-piante-plants_1080x.png?v=1641264590 1080w",""
"1701424059-4","https://piante.ca/","Large Plants","https://piante.ca/collections/large-plants","","10"" Sansevieria
$98.99","https://piante.ca/collections/large-plants/products/0242e39e-bf23-11ea-fc6f-f2cda7529fcb","10"" Sansevieria","$98.99","A top favourite of both beginners and experts in plant care, Sansevieria always makes it in the list of the most popular houseplants. This classic air-purifying plant features simple yet stunning leaves that take your home styling to the next level. Also known as Snake Plant, Sansevieria exhibits a snakeskin-like pattern on their fleshy. sword-shaped leaves.","//piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_360x.png?v=1641264602 360w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_540x.png?v=1641264602 540w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_720x.png?v=1641264602 720w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_900x.png?v=1641264602 900w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_1080x.png?v=1641264602 1080w","//piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_360x.png?v=1641264602 360w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_540x.png?v=1641264602 540w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_720x.png?v=1641264602 720w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_900x.png?v=1641264602 900w, //piante.ca/cdn/shop/products/10-sansevieria-piante-plants-2_1080x.png?v=1641264602 1080w"
"1701424061-5","https://piante.ca/","Large Plants","https://piante.ca/collections/large-plants","","10"" Fiddle Leaf Fig
$115.99","https://piante.ca/collections/large-plants/products/10-fiddle-leaf-fig","10"" Fiddle Leaf Fig","$115.99","A popular tropical house plant with an upright growth habit. Its beautiful broad, bright green leaves have deep veins and are attached to sturdy woody stems. Be sure to keep away from drafts and spray or wipe down the leaves to provide them with extra moisture. The Fiddle Leaf Fig often becomes a focal point in a room as a floor plant and can grow up to six feet tall.","//piante.ca/cdn/shop/products/10-fiddle-leaf-fig-piante-plants_360x.png?v=1641264588 360w, //piante.ca/cdn/shop/products/10-fiddle-leaf-fig-piante-plants_540x.png?v=1641264588 540w, //piante.ca/cdn/shop/products/10-fiddle-leaf-fig-piante-plants_720x.png?v=1641264588 720w, //piante.ca/cdn/shop/products/10-fiddle-leaf-fig-piante-plants_900x.png?v=1641264588 900w, //piante.ca/cdn/shop/products/10-fiddle-leaf-fig-piante-plants_1080x.png?v=1641264588 1080w",""
"1701424066-6","https://piante.ca/","Medium Plants","https://piante.ca/collections/medium-plants","","5"" Sweet Plum Bonsai
$82.99","https://piante.ca/collections/medium-plants/products/5-sweet-plum-bonsai","5"" Sweet Plum Bonsai","$82.99","With small, rounded leaves that are initially a brown/bronze colour before shifitng to a vibrant green, the Sweet Plum bonsai makes for a stunning addition to any collection. As the tree ages its bark will slowly peel away, resulting in a unique patchwork look.","//piante.ca/cdn/shop/products/bonsai_1_53381664-add5-4319-8114-24927929a780_360x.png?v=1673022073 360w, //piante.ca/cdn/shop/products/bonsai_1_53381664-add5-4319-8114-24927929a780_540x.png?v=1673022073 540w, //piante.ca/cdn/shop/products/bonsai_1_53381664-add5-4319-8114-24927929a780_720x.png?v=1673022073 720w, //piante.ca/cdn/shop/products/bonsai_1_53381664-add5-4319-8114-24927929a780_900x.png?v=1673022073 900w, //piante.ca/cdn/shop/products/bonsai_1_53381664-add5-4319-8114-24927929a780_1080x.png?v=1673022073 1080w",""
"1701424068-7","https://piante.ca/","Medium Plants","https://piante.ca/collections/medium-plants","","6.5"" Cebu Blue Pothos Hanging Basket
$47.99","https://piante.ca/collections/medium-plants/products/6-cebu-blue-pothos","6.5"" Cebu Blue Pothos Hanging Basket","$47.99","The Cebu Blue Philodendron is a low-maintenance tropical plant thrive in a wide range of light conditions. The plant can trail, climb, and can be a solid addition to pretty much any indoor garden. Cebu Blue can typically grow anywhere from 4 to 40 feet tall. One of the things that makes this plant really unique is the difference between how the juvenile and mature plant looks.","//piante.ca/cdn/shop/products/6PhilodendronCebuBlue_360x.png?v=1674825742 360w, //piante.ca/cdn/shop/products/6PhilodendronCebuBlue_540x.png?v=1674825742 540w, //piante.ca/cdn/shop/products/6PhilodendronCebuBlue_720x.png?v=1674825742 720w, //piante.ca/cdn/shop/products/6PhilodendronCebuBlue_900x.png?v=1674825742 900w, //piante.ca/cdn/shop/products/6PhilodendronCebuBlue_1080x.png?v=1674825742 1080w",""
"1701424070-8","https://piante.ca/","Medium Plants","https://piante.ca/collections/medium-plants","","5"" Buddhas Hand Citrus
$69.99","https://piante.ca/collections/medium-plants/products/buddashandcitrus","5"" Buddhas Hand Citrus","$69.99","This grafted variety of Citrus trees are well suited to smaller containers and allow you to grow citrus plants indoors. The Buddas Hand citrus tree displays glossy, green foliage and a wonderful citrus fragrance. During summer months they may be placed either inside or outside, but not in a windy area. Once your plant flowers, if it is pollinated it will produce fruit.","//piante.ca/cdn/shop/products/5-buddhas-hand-citrus-piante-plants_360x.png?v=1641265526 360w, //piante.ca/cdn/shop/products/5-buddhas-hand-citrus-piante-plants_540x.png?v=1641265526 540w, //piante.ca/cdn/shop/products/5-buddhas-hand-citrus-piante-plants_720x.png?v=1641265526 720w, //piante.ca/cdn/shop/products/5-buddhas-hand-citrus-piante-plants_900x.png?v=1641265526 900w, //piante.ca/cdn/shop/products/5-buddhas-hand-citrus-piante-plants_1080x.png?v=1641265526 1080w",""
"1701424072-9","https://piante.ca/","Medium Plants","https://piante.ca/collections/medium-plants","","6.5"" Spider Plant Hanging Basket
$25.99","https://piante.ca/collections/medium-plants/products/6-spider-plant-hb","6.5"" Spider Plant Hanging Basket","$25.99","Chlorophytum comosum
Spider Plants are popular house plants recognized for their air-purifying abilities and striking foliage. The most common varieties typically exhibit thin, narrow green leaves with distinctive white stripes. The leaves gracefully arch downwards, making an attractive display of greenery in hanging baskets. They also form their own spiderettes at the end of long and wiry flower stems. These babies dangle off the parent plant and give a spider-like appearance. Propagate them by carefully removing the spiderettes and planting them in their own pots.","//piante.ca/cdn/shop/products/6-spider-plant-hanging-basket-piante-plants_360x.png?v=1641265652 360w, //piante.ca/cdn/shop/products/6-spider-plant-hanging-basket-piante-plants_540x.png?v=1641265652 540w, //piante.ca/cdn/shop/products/6-spider-plant-hanging-basket-piante-plants_720x.png?v=1641265652 720w, //piante.ca/cdn/shop/products/6-spider-plant-hanging-basket-piante-plants_900x.png?v=1641265652 900w, //piante.ca/cdn/shop/products/6-spider-plant-hanging-basket-piante-plants_1080x.png?v=1641265652 1080w",""
"1701424074-10","https://piante.ca/","Medium Plants","https://piante.ca/collections/medium-plants","","6.5"" Purple Heart Hanging Basket
$29.99","https://piante.ca/collections/medium-plants/products/6-purple-heart-hanging-basket","6.5"" Purple Heart Hanging Basket","$29.99","Tradescantia pallida
Bunches of rich purple, lance-shaped leaves make this a beautiful house plant year-round. Pot Purple Heart Plant in a small decorative container for an eye-catching table accent. Or hang it in a basket and let the long, sprawling stems cascade over the side. Let the sunshine in. Grow your plant in bright light year-round for good foliage colour. It will grow in lower light, but the leaves will be more green than purple. Give it some direct sun, but shade it from the hot, noonday sun in summer to avoid scorching its leaves.","//piante.ca/cdn/shop/products/6-purple-heart-hanging-basket-piante-plants_360x.png?v=1641265652 360w, //piante.ca/cdn/shop/products/6-purple-heart-hanging-basket-piante-plants_540x.png?v=1641265652 540w, //piante.ca/cdn/shop/products/6-purple-heart-hanging-basket-piante-plants_720x.png?v=1641265652 720w, //piante.ca/cdn/shop/products/6-purple-heart-hanging-basket-piante-plants_900x.png?v=1641265652 900w, //piante.ca/cdn/shop/products/6-purple-heart-hanging-basket-piante-plants_1080x.png?v=1641265652 1080w",""
